artist,title,Unnamed: 0,ranking,last_week_rank,peak_position,weeks_on_chart,chart_date
Diana Ross,Baby It's Me,1977-10-15_35,35,50,35,2,1977-10-15
Diana Ross,Diamond Diana: The Legacy Collection,2018-01-27_18,18,0,18,1,2018-01-27
Diana Ross,Diana,1980-06-21_15,15,0,15,17,1980-06-21
Diana Ross,Diana & Marvin,1973-11-24_34,34,48,34,2,1973-11-24
Diana Ross,Diana Ross,1970-07-18_35,35,0,35,1,1970-07-18
Diana Ross,Diana Ross (II),1976-03-06_30,30,0,30,1,1976-03-06
Diana Ross,Diana Ross Live At Caesars Palace,1974-07-06_31,31,46,31,3,1974-07-06
Diana Ross,Diana!,1971-04-24_14,14,0,14,1,1971-04-24
Diana Ross,Eaten Alive,1985-10-26_37,37,42,37,2,1985-10-26
Diana Ross,Everything Is Everything,1970-11-28_26,26,0,26,1,1970-11-28
Diana Ross,I Love You,2007-02-03_16,16,0,16,1,2007-02-03
Diana Ross,Last Time I Saw Him,1974-01-05_34,34,49,34,2,1974-01-05
Diana Ross,Red Hot Rhythm And Blues,1987-06-27_39,39,49,39,3,1987-06-27
Diana Ross,Ross,1978-10-28_37,37,47,37,2,1978-10-28
Diana Ross,Ross (II),1983-07-30_40,40,0,40,1,1983-07-30
Diana Ross,Silk Electric,1982-10-23_28,28,0,28,1,1982-10-23
Diana Ross,Surrender,1971-08-07_13,13,0,13,1,1971-08-07
Diana Ross,Swept Away,1984-10-06_25,25,0,25,1,1984-10-06
Diana Ross,Take Me Higher,1995-10-14_38,38,0,38,1,1995-10-14
Diana Ross,The Boss,1979-06-23_35,35,0,35,1,1979-06-23
Diana Ross,To Love Again,1981-03-14_37,37,0,37,1,1981-03-14
Diana Ross,Touch Me In The Morning,1973-07-28_28,28,44,28,3,1973-07-28
Diana Ross,Why Do Fools Fall In Love,1981-11-14_23,23,0,23,1,1981-11-14
Diana Ross,Workin' Overtime,1989-07-08_35,35,46,35,3,1989-07-08
Diana Ross & The Supremes,Diana Ross & The Supremes Join The Temptations,1968-12-07_28,28,0,28,1,1968-12-07
Diana Ross & The Supremes,On Broadway,1969-12-13_36,36,0,36,1,1969-12-13
Diana Ross & The Supremes,TCB,1969-01-04_40,40,0,40,1,1969-01-04
Diana Ross & The Supremes,Together,1969-10-25_30,30,0,30,1,1969-10-25
Dianne Reeves,Dianne Reeves,1988-04-30_39,39,43,39,11,1988-04-30
Dianne Reeves,Never Too Far,1990-03-17_34,34,54,34,3,1990-03-17
Dick Hyman,Moog - The Electric Eclectics Of Dick Hyman,1969-09-27_36,36,43,36,10,1969-09-27
Diddy,Press Play,2006-11-04_1,1,0,1,1,2006-11-04
Diddy - Dirty Money,Last Train To Paris,2011-01-01_3,3,0,3,1,2011-01-01
Digable Planets,Blowout Comb,1994-11-05_13,13,0,13,1,1994-11-05
Digable Planets,Reachin' (A New Refutation Of Time And Space),1993-02-27_5,5,0,5,1,1993-02-27
Diggy,Unexpected Arrival,2012-04-07_3,3,0,3,1,2012-04-07
Digital Underground,Future Rhythm,1996-06-22_26,26,0,26,1,1996-06-22
Digital Underground,Sex Packets,1990-04-21_28,28,99,28,2,1990-04-21
Digital Underground,Sons Of The P,1991-11-23_37,37,44,37,3,1991-11-23
Digital Underground,The Body-Hat Syndrome,1993-10-23_16,16,0,16,1,1993-10-23
Digital Underground,This Is An E.P. Release,1991-02-16_28,28,44,28,2,1991-02-16
Dilated Peoples,20/20,2006-03-11_35,35,0,35,1,2006-03-11
Dilated Peoples,Directors Of Photography,2014-08-30_9,9,0,9,1,2014-08-30
Dilated Peoples,Expansion Team,2001-11-10_8,8,0,8,1,2001-11-10
Dilated Peoples,Neighborhood Watch,2004-04-24_16,16,0,16,1,2004-04-24
Dilated Peoples,The Platform,2000-06-10_30,30,0,30,1,2000-06-10
Dionne Warwick,Dionne,1972-03-11_22,22,42,22,4,1972-03-11
Dionne Warwick,Dionne Warwick In Paris,1966-04-23_17,17,0,17,1,1966-04-23
Dionne Warwick,"Dionne Warwick's Golden Hits, Part 2",1969-11-08_38,38,48,38,2,1969-11-08
Dionne Warwick,"Dionne Warwick's Golden Hits, Part One",1967-11-18_24,24,0,24,1,1967-11-18
Dionne Warwick,Dionne Warwick's Greatest Motion Picture Hits,1969-08-23_37,37,43,37,2,1969-08-23
Dionne Warwick,Friends,1985-12-28_31,31,45,31,2,1985-12-28
Dionne Warwick,Friends In Love,1982-06-05_37,37,42,37,5,1982-06-05
Dionne Warwick,Heartbreaker,1982-11-06_35,35,43,35,2,1982-11-06
Dionne Warwick,Here I Am,1966-01-01_10,10,0,10,1,1966-01-01
Dionne Warwick,Here Where There Is Love,1967-02-25_21,21,0,21,1,1967-02-25
Dionne Warwick,Hot! Live And Otherwise,1981-07-04_40,40,45,40,3,1981-07-04
Dionne Warwick,How Many Times Can We Say Goodbye,1983-11-05_36,36,0,36,1,1983-11-05
Dionne Warwick,I'll Never Fall In Love Again,1970-05-02_39,39,0,39,1,1970-05-02
Dionne Warwick,Make Way For Dionne Warwick,1965-02-06_10,10,0,10,1,1965-02-06
Dionne Warwick,No Night So Long,1980-08-23_35,35,45,35,2,1980-08-23
Dionne Warwick,On Stage and in The Movies,1967-04-15_22,22,0,22,1,1967-04-15
Dionne Warwick,"Promises, Promises",1969-01-04_17,17,44,17,2,1969-01-04
Dionne Warwick,Reservations For Two,1987-09-12_40,40,41,40,3,1987-09-12
Dionne Warwick,Soulful,1969-04-12_18,18,49,18,2,1969-04-12
Dionne Warwick,The Dionne Warwicke Story,1971-11-13_17,17,0,17,1,1971-11-13
Dionne Warwick,The Windows Of The World,1967-09-16_14,14,0,14,1,1967-09-16
Dionne Warwick,Then Came You,1975-03-22_40,40,46,40,2,1975-03-22
Dionne Warwick,Track Of The Cat,1975-12-27_37,37,48,37,4,1975-12-27
Dionne Warwick,Valley Of The Dolls,1968-03-09_16,16,0,16,1,1968-03-09
Dionne Warwick,Very Dionne,1970-12-12_34,34,0,34,1,1970-12-12
Diplo,California (EP),2018-04-07_31,31,0,31,1,2018-04-07
Diplomats Presents Freekey Zekey,Book Of Ezekiel,2007-08-11_23,23,0,23,1,2007-08-11
Diplomats Presents: Hell Rell,For The Hell Of It,2007-10-13_10,10,0,10,1,2007-10-13
Dipset,"Diplomats & DukeDaGod Present: More Than Music, Vol. 1",2005-07-30_7,7,0,7,1,2005-07-30
Dipset,"DukeDaGod Presents Dipset: More Than Music, Vol. 2",2007-05-26_5,5,0,5,1,2007-05-26
Dirty,Hood Stories,2005-09-03_26,26,0,26,1,2005-09-03
Dirty,Keep It Pimp & Gangsta,2003-03-15_13,13,0,13,1,2003-03-15
Dirty,Love Us Or Hate Us,2003-10-25_22,22,0,22,1,2003-10-25
Dirty,The Art Of Storytelling,2007-06-30_40,40,0,40,1,2007-06-30
Dirty,The Pimp & Da Gangsta,2001-03-17_19,19,0,19,1,2001-03-17
Disco Tex & The Sex-O-Lettes Starring Sir Monti Rock III,Disco Tex And The Sex-O-Lettes,1975-05-24_29,29,41,29,2,1975-05-24
Divine,Fairy Tales,1998-11-14_40,40,0,40,1,1998-11-14
Dizzy Wright,State Of Mind (EP),2014-05-03_11,11,0,11,1,2014-05-03
Dizzy Wright,The 702 EP,2016-07-23_19,19,0,19,1,2016-07-23
Dizzy Wright,The Golden Age,2013-09-07_39,39,0,39,1,2013-09-07
Dizzy Wright,The Growing Process: #TheSecondAgreement,2015-06-13_5,5,0,5,1,2015-06-13
Dizzy Wright,Wisdom And Good Vibes (EP),2016-02-27_24,24,0,24,1,2016-02-27
Do Or Die,Back 2 The Game,2002-08-31_25,25,0,25,1,2002-08-31
Do Or Die,D.O.D.,2005-02-19_14,14,0,14,1,2005-02-19
Do Or Die,Get That Paper,2006-04-15_29,29,0,29,1,2006-04-15
Do Or Die,Headz Or Tailz,1998-04-25_3,3,0,3,1,1998-04-25
Do Or Die,Picture This,1996-09-21_3,3,0,3,1,1996-09-21
Do Or Die,Pimpin Ain't Dead,2003-09-06_17,17,0,17,1,2003-09-06
Do Or Die,Victory,2000-09-16_4,4,0,4,1,2000-09-16
Doe B,D.O.A.T. 3 (Definition Of A Trapper),2014-04-19_15,15,0,15,1,2014-04-19
Doggys Angels,Pleezbaleevit!,2000-12-09_35,35,0,35,1,2000-12-09
Dom Kennedy,By Dom Kennedy,2015-06-20_3,3,0,3,1,2015-06-20
Dom Kennedy,Get Home Safely,2013-11-02_4,4,0,4,1,2013-11-02
Dom Kennedy,"II: From The Westside, With Love",2011-07-16_19,19,0,19,1,2011-07-16
Domino,Domino,1993-12-25_15,15,0,15,1,1993-12-25
Domino,Physical Funk,1996-06-29_34,34,0,34,1,1996-06-29
Domo Genesis,Genesis,2016-04-16_14,14,0,14,1,2016-04-16
Don Chief,The Return Of Chief Lucas,2016-11-26_39,39,0,39,1,2016-11-26
Don Trip,Godspeed,2015-07-11_12,12,0,12,1,2015-07-11
Don Trip,The Head That Wears The Crown,2016-07-30_18,18,0,18,1,2016-07-30
Donald Byrd,Black Byrd,1973-05-19_35,35,43,35,3,1973-05-19
Donald Byrd,Caricatures,1977-02-19_35,35,45,35,2,1977-02-19
Donald Byrd,Places And Spaces,1975-11-29_33,33,48,33,2,1975-11-29
Donald Byrd,Slow Drag,1969-03-22_34,34,0,34,1,1969-03-22
Donald Byrd,Stepping Into Tomorrow,1975-03-29_40,40,0,40,1,1975-03-29
Donald Byrd,Street Lady,1974-04-13_37,37,48,37,2,1974-04-13
Donald Byrd And The 125th Street N.Y.C.,Love Byrd,1981-10-03_32,32,42,32,3,1981-10-03
Donald Fagen,The Nightfly,1982-11-20_34,34,41,34,2,1982-11-20
Donald Lawrence & Co.,I Speak Life,2004-10-30_22,22,0,22,1,2004-10-30
Dondria,Dondria Vs Phatfffat,2010-09-04_9,9,0,9,1,2010-09-04
Donell Jones,Forever,2013-07-27_8,8,0,8,1,2013-07-27
Donell Jones,Journey Of A Gemini,2006-07-08_1,1,0,1,1,2006-07-08
Donell Jones,Life Goes On,2002-06-22_2,2,0,2,1,2002-06-22
Donell Jones,Lyrics,2010-10-16_9,9,0,9,1,2010-10-16
Donell Jones,My Heart,1996-06-22_38,38,0,38,1,1996-06-22
Donell Jones,Where I Wanna Be,1999-10-30_6,6,0,6,1,1999-10-30
Donna Allen,Heaven On Earth,1989-03-18_33,33,42,33,15,1989-03-18
Donna Allen,Perfect Timing,1987-02-28_39,39,50,39,3,1987-02-28
Donna Summer,A Love Trilogy,1976-04-10_28,28,43,28,2,1976-04-10
Donna Summer,Bad Girls,1979-05-19_40,40,0,40,1,1979-05-19
Donna Summer,Cats Without Claws,1984-10-06_31,31,0,31,1,1984-10-06
Donna Summer,Crayons,2008-06-07_5,5,0,5,1,2008-06-07
Donna Summer,Donna Summer,1982-08-14_30,30,0,30,1,1982-08-14
Donna Summer,Four Seasons Of Love,1976-11-13_20,20,0,20,1,1976-11-13
Donna Summer,I Remember Yesterday,1977-06-11_32,32,0,32,1,1977-06-11
Donna Summer,Live And More,1978-09-23_32,32,0,32,1,1978-09-23
Donna Summer,Love To Love You Baby,1975-11-22_34,34,42,34,6,1975-11-22
Donna Summer,Love To Love You Donna,2013-11-09_20,20,0,20,1,2013-11-09
Donna Summer,Once Upon A Time,1977-11-26_31,31,0,31,1,1977-11-26
Donna Summer,She Works Hard For The Money,1983-07-23_27,27,57,27,2,1983-07-23
Donna Summer,The Wanderer,1980-11-15_15,15,48,15,2,1980-11-15
Donna Summer,VH1 Presents Live & More Encore!,1999-07-10_33,33,0,33,1,1999-07-10
Donnie,The Colored Section,2003-06-28_31,31,62,31,4,2003-06-28
Donnie,The Daily News,2007-07-07_33,33,0,33,1,2007-07-07
Donnie Klang,Just A Rolling Stone,2008-09-20_5,5,0,5,1,2008-09-20
Donnie McClurkin,Donnie McClurkin... Again,2003-03-22_12,12,0,12,1,2003-03-22
Donnie McClurkin,Live In London And More...,2001-03-03_40,40,44,40,24,2001-03-03
Donnie McClurkin,"Psalms, Hymns & Spiritual Songs",2005-04-23_5,5,0,5,1,2005-04-23
Donnie McClurkin,We All Are One (Live In Detroit),2009-04-18_7,7,77,7,2,2009-04-18
Donny Hathaway,Donny Hathaway,1971-05-22_30,30,45,30,2,1971-05-22
Donny Hathaway,Donny Hathaway Live,1972-03-11_29,29,0,29,1,1972-03-11
Donny Hathaway,Everything Is Everything,1971-05-29_36,36,0,36,3,1971-05-29
Donny Hathaway,Extension Of A Man,1973-07-28_39,39,49,39,2,1973-07-28
Doomtree,All Hands,2015-02-14_10,10,0,10,1,2015-02-14
Doris Duke,I'm A Loser,1970-05-23_39,39,43,39,8,1970-05-23
Dorothy Moore,Dorothy Moore,1977-08-13_39,39,50,39,2,1977-08-13
Dorothy Moore,Misty Blue,1976-06-05_21,21,41,21,2,1976-06-05
Dorrough,Dorrough Music,2009-08-22_6,6,0,6,1,2009-08-22
Dorrough,Get Big,2010-09-25_15,15,0,15,1,2010-09-25
Double Exposure,Ten Percent,1976-10-02_40,40,41,40,6,1976-10-02
Doug E. Fresh & The Get Fresh Crew,"Oh, My God!",1987-01-17_37,37,43,37,4,1987-01-17
Doug E. Fresh & The Get Fresh Crew,The World's Greatest Entertainer,1988-06-11_19,19,66,19,2,1988-06-11
Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,1976-12-11_38,38,46,38,13,1976-12-11
Dr. Buzzard's Original Savannah Band,Dr.buzzards Original Savannah Band Meets Kink Pene,1978-03-04_29,29,0,29,1,1978-03-04
Dr. Dre,Compton,2015-08-29_1,1,0,1,1,2015-08-29
Dr. Dre,Concrete Roots,1994-10-08_14,14,0,14,1,1994-10-08
Dr. Dre,Dr. Dre -- 2001,1999-12-04_1,1,0,1,1,1999-12-04
Dr. Dre,First Round Knockout,1996-06-08_18,18,0,18,1,1996-06-08
Dr. Dre,The Chronic,1993-01-02_2,2,0,2,1,1993-01-02
Dr. J.R. Kool & The Other Roxannes,The Complete Story Of Roxanne,1985-08-24_23,23,45,23,4,1985-08-24
Dr. John,In The Right Place,1973-09-01_39,39,50,39,2,1973-09-01
Dr. Kokastien,Dr. Kokastien Hosted By DJ King Assassin,2012-08-04_20,20,66,20,2,2012-08-04
Drag-On,Hell And Back,2004-02-28_5,5,0,5,1,2004-02-28
Drag-On,Opposite Of H2O,2000-04-15_2,2,89,2,2,2000-04-15
Drake,If You're Reading This It's Too Late,2015-02-28_1,1,0,1,1,2015-02-28
Drake,More Life,2017-04-08_1,1,0,1,1,2017-04-08
Drake,Nothing Was The Same,2013-10-12_1,1,62,1,2,2013-10-12
Drake,Scorpion,2018-07-14_1,1,0,1,1,2018-07-14
Drake,So Far Gone (EP),2009-10-03_3,3,95,3,2,2009-10-03
Drake,Take Care,2011-12-03_1,1,0,1,1,2011-12-03
Drake,Thank Me Later,2010-07-03_1,1,88,1,2,2010-07-03
Drake,Views,2016-05-21_1,1,0,1,1,2016-05-21
Drake & Future,What A Time To Be Alive,2015-10-10_1,1,0,1,1,2015-10-10
Drama,Causin' Drama,2000-02-26_15,15,0,15,1,2000-02-26
Drama,Gangsta Grillz: The Album,2007-12-22_3,3,0,3,1,2007-12-22
Drama,Gangsta Grillz: The Album Vol. 2,2009-06-06_5,5,0,5,1,2009-06-06
Dream,It Was All A Dream,2001-02-10_11,11,0,11,1,2001-02-10
Dream Junkies,Good Religion,2016-03-26_24,24,0,24,1,2016-03-26
Dreamboy,Dreamboy,1984-02-18_38,38,42,38,10,1984-02-18
Dreezy,No Hard Feelings,2016-08-06_15,15,0,15,1,2016-08-06
Dru Down,Can You Feel Me,1996-09-21_14,14,0,14,1,1996-09-21
Dru Hill,Dru Hill,1996-12-07_23,23,0,23,1,1996-12-07
Dru Hill,Dru World Order,2002-12-14_2,2,0,2,1,2002-12-14
Dru Hill,Enter The Dru,1998-11-14_2,2,0,2,1,1998-11-14
Dru Hill,Hits,2005-10-29_22,22,0,22,1,2005-10-29
Dru Hill,InDRUpendence Day,2010-08-14_10,10,0,10,1,2010-08-14
Duice,Dazzey Duks,1993-02-06_31,31,42,31,2,1993-02-06
Dungeon Family,Even In Darkness,2001-12-08_4,4,0,4,1,2001-12-08
Durell Coleman,Durell Coleman,1985-10-26_35,35,44,35,5,1985-10-26
Dwele,...Sketches Of A Man,2008-07-12_7,7,0,7,1,2008-07-12
Dwele,Greater Than One,2012-09-15_9,9,0,9,1,2012-09-15
Dwele,Some Kinda...,2005-10-22_10,10,0,10,1,2005-10-22
Dwele,Subject,2003-06-07_28,28,0,28,1,2003-06-07
Dwele,W.ants W.orld W.omen,2010-07-17_9,9,0,9,1,2010-07-17
Dynamic Superiors,The Dynamic Superiors,1975-03-15_40,40,44,40,4,1975-03-15
Dynasty,Adventures In The Land Of Music,1980-08-09_22,22,44,22,3,1980-08-09
E-40,Breakin News,2003-09-27_4,4,0,4,1,2003-09-27
E-40,Charlie Hustle: BluePrint Of A Self-Made Millionaire,1999-11-27_2,2,0,2,1,1999-11-27
E-40,In A Major Way,1995-04-01_2,2,0,2,1,1995-04-01
E-40,Loyalty And Betrayal,2000-10-28_4,4,0,4,1,2000-10-28
E-40,My Ghetto Report Card,2006-04-01_1,1,0,1,1,2006-04-01
E-40,Poverty And Prosperity (EP),2015-12-12_38,38,0,38,1,2015-12-12
E-40,Revenue Retrievin': Day Shift,2010-04-17_15,15,0,15,1,2010-04-17
E-40,Revenue Retrievin': Day Shift/Night Shift,2010-04-17_32,32,0,32,1,2010-04-17
E-40,Revenue Retrievin': Graveyard Shift,2011-04-16_12,12,0,12,1,2011-04-16
E-40,Revenue Retrievin': Night Shift,2010-04-17_17,17,0,17,1,2010-04-17
E-40,Revenue Retrievin': Overtime Shift,2011-04-16_13,13,0,13,1,2011-04-16
E-40,Revenue Retrievin': Overtime Shift & Graveyard Shift,2011-04-16_37,37,0,37,1,2011-04-16
E-40,Sharp On All 4 Corners: Corner 1,2014-12-27_8,8,0,8,1,2014-12-27
E-40,Sharp On All 4 Corners: Corner 2,2014-12-27_19,19,0,19,1,2014-12-27
E-40,Tha Hall Of Game,1996-11-16_2,2,0,2,1,1996-11-16
E-40,The Ball Street Journal,2008-12-13_6,6,0,6,1,2008-12-13
E-40,The Ballatician: Grit & Grind,2002-07-27_5,5,0,5,1,2002-07-27
E-40,The Block Brochure: Welcome To The Soil 1,2012-04-14_10,10,0,10,1,2012-04-14
E-40,"The Block Brochure: Welcome To The Soil 1, 2 & 3",2012-04-14_8,8,0,8,1,2012-04-14
E-40,The Block Brochure: Welcome To The Soil 2,2012-04-14_9,9,0,9,1,2012-04-14
E-40,The Block Brochure: Welcome To The Soil 3,2012-04-14_13,13,0,13,1,2012-04-14
E-40,The Block Brochure: Welcome To The Soil 4,2013-12-28_19,19,0,19,1,2013-12-28
E-40,The Block Brochure: Welcome To The Soil 5,2013-12-28_20,20,0,20,1,2013-12-28
E-40,The Block Brochure: Welcome To The Soil 6,2013-12-28_21,21,0,21,1,2013-12-28
E-40,"The Block Brochure: Welcome To The Soil: Parts 4, 5 & 6",2013-12-28_26,26,0,26,1,2013-12-28
E-40,The D-Boy Diary: Book 1,2016-12-10_13,13,0,13,1,2016-12-10
E-40,The D-Boy Diary: Book 2,2016-12-10_14,14,0,14,1,2016-12-10
E-40,The Element Of Surprise,1998-08-29_4,4,0,4,1,1998-08-29
E-40,The Mail Man,1993-10-16_13,13,0,13,1,1993-10-16
E-40 And Too $hort,History: Function Music,2012-11-24_9,9,0,9,1,2012-11-24
E-40 And Too $hort,History: Mob Music,2012-11-24_11,11,0,11,1,2012-11-24
E-40 And Too $hort,History: Mob Music And Function Music,2012-11-24_16,16,0,16,1,2012-11-24
E.U.,Livin' Large,1989-04-29_36,36,41,36,4,1989-04-29
ED O.G & DA Bulldogs,Life Of A Kid In The Ghetto,1991-04-13_39,39,51,39,3,1991-04-13
ED O.G & DA Bulldogs,Roxbury 02119,1994-02-05_36,36,0,36,1,1994-02-05
EL-P,Cancer4Cure,2012-06-09_7,7,0,7,1,2012-06-09
EPMD,Back In Business,1997-10-11_4,4,83,4,2,1997-10-11
EPMD,Business As Usual,1991-02-09_28,28,67,28,2,1991-02-09
EPMD,Business Never Personal,1992-08-15_35,35,0,35,1,1992-08-15
EPMD,Out Of Business,1999-08-07_2,2,0,2,1,1999-08-07
EPMD,Strictly Business,1988-06-25_21,21,41,21,2,1988-06-25
EPMD,Unfinished Business,1989-08-19_21,21,0,21,1,1989-08-19
ESG,Sailin' Da South,1995-09-30_29,29,0,29,1,1995-09-30
Eamon,I Don't Want You Back,2004-03-06_3,3,0,3,1,2004-03-06
Earl Klugh,Crazy For You,1981-11-07_40,40,0,40,1,1981-11-07
Earl Klugh,Dream Come True,1980-05-03_26,26,43,26,2,1980-05-03
Earl Klugh,Finger Paintings,1977-07-23_39,39,47,39,2,1977-07-23
Earl Klugh,Heart Strings,1979-06-02_33,33,41,33,3,1979-06-02
Earl Klugh,Late Night Guitar,1981-01-17_40,40,45,40,4,1981-01-17
Earl Klugh,Low Ride,1983-05-14_36,36,0,36,1,1983-05-14
Earl Klugh,Soda Fountain Shuffle,1985-06-01_37,37,57,37,3,1985-06-01
Earl Klugh,Two Of A Kind,1982-12-11_34,34,44,34,4,1982-12-11
Earl Klugh,Wishful Thinking,1984-04-14_35,35,47,35,3,1984-04-14
Earl Sweatshirt,Doris,2013-09-07_2,2,0,2,1,2013-09-07
Earl Sweatshirt,"I Don\xe2\x80\x99t Like Shit, I Don\xe2\x80\x99t Go Outside: An Album By Earl Sweatshirt",2015-04-11_4,4,0,4,1,2015-04-11
Earl Sweatshirt,Some Rap Songs,2018-12-15_10,10,0,10,1,2018-12-15
"Earth, Wind & Fire",All 'n' All,1977-12-10_22,22,0,22,1,1977-12-10
"Earth, Wind & Fire",Another Time,1974-09-21_34,34,45,34,2,1974-09-21
"Earth, Wind & Fire","Earth, Wind & Fire",1971-05-08_36,36,0,36,1,1971-05-08
"Earth, Wind & Fire",Electric Universe,1983-12-10_17,17,41,17,2,1983-12-10
"Earth, Wind & Fire",Faces,1980-11-29_2,2,0,2,1,1980-11-29
"Earth, Wind & Fire",Gratitude,1975-12-06_29,29,0,29,1,1975-12-06
"Earth, Wind & Fire",Head To The Sky,1973-06-16_36,36,48,36,2,1973-06-16
"Earth, Wind & Fire",Heritage,1990-03-10_27,27,45,27,3,1990-03-10
"Earth, Wind & Fire",Holiday,2014-11-08_36,36,0,36,1,2014-11-08
"Earth, Wind & Fire",I Am,1979-06-23_9,9,0,9,1,1979-06-23
"Earth, Wind & Fire",Illumination,2005-10-08_8,8,0,8,1,2005-10-08
"Earth, Wind & Fire",Last Days And Time,1973-01-13_40,40,43,40,2,1973-01-13
"Earth, Wind & Fire",Millennium,1993-10-02_8,8,0,8,1,1993-10-02
"Earth, Wind & Fire","Now, Then & Forever",2013-09-28_6,6,0,6,1,2013-09-28
"Earth, Wind & Fire",Open Our Eyes,1974-04-13_38,38,0,38,1,1974-04-13
"Earth, Wind & Fire",Powerlight,1983-03-12_20,20,0,20,1,1983-03-12
"Earth, Wind & Fire",Promise,2003-06-07_19,19,0,19,1,2003-06-07
"Earth, Wind & Fire",Raise,1981-11-14_27,27,0,27,1,1981-11-14
"Earth, Wind & Fire",Spirit,1976-10-16_10,10,0,10,1,1976-10-16
"Earth, Wind & Fire",The Classic Christmas Album,2016-01-02_34,34,47,34,3,2016-01-02
"Earth, Wind & Fire",The Need Of Love,1972-02-26_39,39,49,39,4,1972-02-26
"Earth, Wind & Fire",Touch The World,1987-11-28_36,36,0,36,1,1987-11-28
East Coast Family,East Coast Family Volume One,1992-08-29_37,37,54,37,2,1992-08-29
Eazy-E,5150 Home 4 Tha Sick,1993-01-02_16,16,0,16,1,1993-01-02
Eazy-E,Eazy-Duz-It,1988-12-03_32,32,64,32,2,1988-12-03
Eazy-E,Eternal E,1995-12-16_19,19,0,19,1,1995-12-16
Eazy-E,It's On (Dr. Dre 187um) Killa (EP),1993-11-06_1,1,82,1,2,1993-11-06
Eazy-E,Str8 Off Tha Streetz Of Muthaphu**in Compton,1996-02-17_1,1,0,1,1,1996-02-17
Ebonee Webb,Ebonee Webb,1981-09-26_39,39,42,39,4,1981-09-26
Ebony Eyez,7 Day Cycle,2005-10-22_24,24,0,24,1,2005-10-22
"Ecstasy, Passion & Pain","Ecstasy, Passion, And Pain",1974-09-28_40,40,44,40,2,1974-09-28
Eddie Harris,Bad Luck Is All I Have,1975-10-18_35,35,46,35,2,1975-10-18
Eddie Harris,Come On Down!,1970-06-20_40,40,42,40,3,1970-06-20
Eddie Harris,Eddie Harris Live At Newport,1972-01-01_37,37,0,37,1,1972-01-01
Eddie Harris,High Voltage,1969-09-20_31,31,43,31,6,1969-09-20
Eddie Harris,I Need Some Money,1975-05-10_38,38,44,38,6,1975-05-10
Eddie Harris,Mean Greens,1966-11-05_24,24,0,24,1,1966-11-05
Eddie Harris,Plug Me In,1968-08-03_38,38,0,38,1,1968-08-03
Eddie Harris,Second Movement,1971-06-12_20,20,0,20,1,1971-06-12
Eddie Harris,Silver Cycles,1969-03-01_33,33,50,33,2,1969-03-01
Eddie Harris,Swiss Movement,1969-12-20_22,22,49,22,2,1969-12-20
Eddie Harris,The Electrifying Eddie Harris,1968-03-16_20,20,0,20,1,1968-03-16
Eddie Holman,I Love You,1970-02-21_31,31,42,31,4,1970-02-21
Eddie Kendricks,All By Myself,1971-05-15_19,19,0,19,1,1971-05-15
Eddie Kendricks,Boogie Down!,1974-03-23_30,30,46,30,2,1974-03-23
Eddie Kendricks,Eddie Kendricks,1973-06-23_34,34,0,34,1,1973-06-23
Eddie Kendricks,For You,1975-01-04_33,33,41,33,3,1975-01-04
Eddie Kendricks,Goin' Up In Smoke,1976-10-16_32,32,42,32,2,1976-10-16
Eddie Kendricks,He's A Friend,1976-02-07_39,39,0,39,1,1976-02-07
Eddie Kendricks,People...Hold On,1972-06-17_25,25,44,25,2,1972-06-17
Eddie Kendricks,The Hit Man,1975-07-19_35,35,0,35,1,1975-07-19
Eddie Kendricks,Vintage 78',1978-04-01_40,40,50,40,2,1978-04-01
Eddie Levert Sr. & Gerald Levert,Something To Talk About,2007-06-30_5,5,0,5,1,2007-06-30
Eddie Murphy,Eddie Murphy,1982-09-11_40,40,55,40,2,1982-09-11
Eddie Murphy,Eddie Murphy: Comedian,1983-12-03_24,24,50,24,2,1983-12-03
Eddie Murphy,How Could It Be,1985-11-09_34,34,44,34,3,1985-11-09
Eddie Murphy,So Happy,1989-09-09_39,39,49,39,3,1989-09-09
Eddy Grant,Killer On The Rampage,1983-05-14_37,37,42,37,5,1983-05-14
Edwin Starr,25 Miles,1969-05-17_37,37,0,37,1,1969-05-17
Edwin Starr,Clean,1979-02-03_39,39,49,39,7,1979-02-03
Edwin Starr,War & Peace,1970-09-12_21,21,44,21,2,1970-09-12
El Chicano,Viva Tirado,1970-07-04_40,40,48,40,3,1970-07-04
El Coco,Cocomotion,1977-12-10_35,35,43,35,6,1977-12-10
El DeBarge,El DeBarge,1986-06-14_29,29,0,29,1,1986-06-14
El DeBarge,Gemini,1989-04-08_40,40,49,40,4,1989-04-08
El DeBarge,Heart Mind & Soul,1994-06-18_24,24,0,24,1,1994-06-18
El DeBarge,Second Chance,2010-12-18_13,13,0,13,1,2010-12-18
Electrik Red,How To Be A Lady: Volume 1,2009-06-13_20,20,0,20,1,2009-06-13
Elephant Man,Good 2 Go,2003-12-20_14,14,0,14,1,2003-12-20
Elephant Man,Let's Get Physical,2008-04-26_38,38,0,38,1,2008-04-26
"Eli ""Paperboy"" Reed",Come And Get It,2010-08-28_36,36,0,36,1,2010-08-28
Elisabeth Withers,It Can Happen To Anyone,2007-02-17_32,32,0,32,1,2007-02-17
Ella Mai,CHANGE (EP),2016-12-10_38,38,0,38,1,2016-12-10
